locus_id,locus_name,locus_type,token,building,floor,zone,scale,dwell_category,sward_ids,sward_count,function,hazard_level,hazard_grade,tags,description,congestion_prone,sector_id,gateway_no,gateway_name,building_no,floor_no,location_x,location_y,locus_version
GW-368,fab_7F_ X29Y07_호이스트_철거,WORK_AREA,work_area,FAB,7F,,POINT,SHORT_STAY,GW-368,1,WORK,medium,2.0,,,False,Y1_SKHynix,368,fab_7F_ X29Y07_호이스트_철거,2.0,30.0,330.0,68.0,v2
GW-350,fab_5F_X15Y12,WORK_AREA,work_area,FAB,5F,,POINT,SHORT_STAY,GW-350,1,WORK,medium,2.0,,,False,Y1_SKHynix,350,fab_5F_X15Y12,2.0,22.0,168.0,141.0,v2
GW-366,fab_5F_ X29Y09_클라이머,WORK_AREA,work_area,FAB,5F,,POINT,SHORT_STAY,GW-366,1,WORK,medium,2.0,,,False,Y1_SKHynix,366,fab_5F_ X29Y09_클라이머,2.0,22.0,330.0,96.0,v2
GW-342,fab_5F_X20Y09,WORK_AREA,work_area,FAB,5F,,POINT,SHORT_STAY,GW-342,1,WORK,medium,2.0,,,False,Y1_SKHynix,342,fab_5F_X20Y09,2.0,22.0,229.0,98.0,v2
GW-326,fab_2F_X19Y04,WORK_AREA,work_area,FAB,2F,,POINT,SHORT_STAY,GW-326,1,WORK,medium,2.0,,,False,Y1_SKHynix,326,fab_2F_X19Y04,2.0,20.0,217.0,31.0,v2
GW-296,fab_1F_X07Y11,WORK_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-296,1,WORK,medium,2.0,,,False,Y1_SKHynix,296,fab_1F_X07Y11,2.0,4.0,74.0,129.0,v2
GW-335,fab_6F_X29Y07_호이스트,WORK_AREA,work_area,FAB,6F,,POINT,SHORT_STAY,GW-335,1,WORK,medium,2.0,,,False,Y1_SKHynix,335,fab_6F_X29Y07_호이스트,2.0,23.0,330.0,68.0,v2
GW-238,fab_1F_X08Y09_휴게실_F02_1층2번,REST_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-238,1,REST,medium,2.0,,,False,Y1_SKHynix,238,fab_1F_X08Y09_휴게실_F02_1층2번,2.0,4.0,91.0,95.0,v2
GW-347,fab_6F_X19Y04,WORK_AREA,work_area,FAB,6F,,POINT,SHORT_STAY,GW-347,1,WORK,medium,2.0,,,False,Y1_SKHynix,347,fab_6F_X19Y04,2.0,23.0,216.0,30.0,v2
GW-319,fab_3F_X20Y14,WORK_AREA,work_area,FAB,3F,,POINT,SHORT_STAY,GW-319,1,WORK,medium,2.0,,,False,Y1_SKHynix,319,fab_3F_X20Y14,2.0,21.0,232.0,161.0,v2
GW-330,fab_3F_X06Y16,WORK_AREA,work_area,FAB,3F,,POINT,SHORT_STAY,GW-330,1,WORK,medium,2.0,,,False,Y1_SKHynix,330,fab_3F_X06Y16,2.0,21.0,54.0,182.0,v2
GW-188,fab_1F_X27Y09,WORK_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-188,1,WORK,medium,2.0,,,False,Y1_SKHynix,188,fab_1F_X27Y09,2.0,4.0,310.0,98.0,v2
GW-337,fab_6F_X14Y16,WORK_AREA,work_area,FAB,6F,,POINT,SHORT_STAY,GW-337,1,WORK,medium,2.0,,,False,Y1_SKHynix,337,fab_6F_X14Y16,2.0,23.0,161.0,180.0,v2
GW-341,fab_6F_X24Y14,WORK_AREA,work_area,FAB,6F,,POINT,SHORT_STAY,GW-341,1,WORK,medium,2.0,,,False,Y1_SKHynix,341,fab_6F_X24Y14,2.0,23.0,277.0,162.0,v2
GW-362,fab_2F_ X29Y09_클라이머,WORK_AREA,work_area,FAB,2F,,POINT,SHORT_STAY,GW-362,1,WORK,medium,2.0,,,False,Y1_SKHynix,362,fab_2F_ X29Y09_클라이머,2.0,20.0,329.0,95.0,v2
GW-316,fab_2F_X11Y04,WORK_AREA,work_area,FAB,2F,,POINT,SHORT_STAY,GW-316,1,WORK,medium,2.0,,,False,Y1_SKHynix,316,fab_2F_X11Y04,2.0,20.0,120.0,31.0,v2
